filename,trimstart,trimend
group-box4_camera-overhead_right-250203_131422.mp4,00:14:10,00:25:20
group-box3_camera-overhead_left-250203_131421.mp4,00:12:27,00:20:00
group-box3_camera-overhead_right-250203_131421.mp4,00:00:26,00:11:15
group-box1_camera-overhead_left-250203_131422.mp4,00:15:00,00:28:30
group-box1_camera-overhead_right-250203_131422.mp4,00:00:20,00:14:55
group-box2_camera-overhead_left-250203_131422.mp4,00:00:25,00:07:28
group-box2_camera-overhead_right-250203_131422.mp4,00:07:45,00:14:20
group-box4_camera-overhead_left-250203_131422.mp4,00:00:25,00:13:55
group-box4_camera-overhead_left-250203_142937.mp4,00:21:09,00:51:22
group-box4_camera-overhead_right-250203_142937.mp4,00:00:42,00:20:42
group-box1_camera-overhead_left-250203_142937.mp4,00:11:12,00:26:35
group-box1_camera-overhead_right-250203_142937.mp4,00:00:42,00:11:04
group-box2_camera-overhead_left-250203_142937.mp4,00:00:42,00:12:48
group-box2_camera-overhead_right-250203_142937.mp4,00:13:09,00:25:04
group-box3_camera-overhead_left-250203_142936.mp4,00:31:21,01:01:35
group-box3_camera-overhead_right-250203_142936.mp4,00:00:44,00:30:56
group-box3_camera-overhead_left-250203_155218.mp4,00:00:05,00:14:25
group-box2_camera-overhead_right-250203_155219.mp4,00:00:05,00:10:10
group-box3_camera-overhead_right-250203_155218.mp4,00:14:28,00:43:52
group-box4_camera-overhead_left-250203_155218.mp4,00:00:06,00:10:35
group-box4_camera-overhead_right-250203_155218.mp4,00:10:45,00:30:48
group-box1_camera-overhead_left-250203_155218.mp4,00:00:05,00:13:16
group-box1_camera-overhead_right-250203_155218.mp4,00:13:24,00:24:32
group-box2_camera-overhead_left-250203_155219.mp4,00:10:21,00:23:31